mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1	d.i		d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/2	1/2	4/4	3	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	2	3/4	3/4	4/4	3	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
3	3	0	0	4/4	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
4	4	0	0	3/2	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/2	1/2	3/2	3	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
4	4	1	1	3/2	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
5	5	0	0	3/2	3	1	i\\		d	i		i	i						\\	m	1	1	0, -3, 1		0	0
6	6	0	0	4/4	3	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
7	7	1/2	1/2	4/4	3	1	VI/v		d	i		VI/v	VI				v			M	1	1	-3, 1, -2		-3	-3
7	7	3/4	3/4	4/4	3	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	8	0	0	4/4	3	1	V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
9	9	0	0	3/2	3	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
9	9	1/2	1/2	3/2	3	1	iv/v		d	i		iv/v	iv				v			m	1	1	0, -3, 1		0	0
9	9	1	1	3/2	3	1	V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
10	10	0	0	3/2	3	1	v\\		d	i		v	v						\\	m	1	1	1, -2, 2		1	1
11	11	0	0	3/2	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
11	11	1/2	1/2	3/2	3	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
11	11	1	1	3/2	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
12	12	0	0	3/2	3	1	i\\	I\\	d	i		i	i						\\	m	1	1	0, -3, 1		0	0
13	13	0	0	4/4	3	1	V/V		d	i		V/V	V				V			M	1	1	2, 6, 3		2	2
14	14	0	0	4/4	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
