mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	4	1	d.i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	1.875	0.0
2	2	0	0	2/2	4	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	1.0	0.0
2	2	1/2	1/2	2/2	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	1.0	0.0
3	3	0	0	2/2	4	1	V(4)/III					d	i		V(4)/III	V			4	III			M	1	1	0, -1, 1		0	0	0	2	0.0	0.0	1.5	0.0
3	3	1/2	1/2	2/2	4	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	1	0.0	0.0	0.5	0.0
4	4	0	0	2/2	4	1	III\\					d	i		III	III						\\	M	1	1	-1, 3, 0		-1	-1	0	7	0.0	0.0	3.875	0.0
6	6	0	0	2/2	4	1	IV/III					d	i		IV/III	IV				III			M	1	1	-2, 2, -1		-2	-2	0	5	0.0	0.0	1.0	0.0
6	6	1/2	1/2	2/2	4	1	ii/iv					d	i		ii/iv	ii				iv			m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	1.0	0.0
7	7	0	0	2/2	4	1	V/iv					d	i		V/iv	V				iv			M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	1.25	0.0
7	7	1/4	1/4	2/2	4	1	V(64)/iv					d	i		V(64)/iv	V			64	iv			M	1	1	2, 1, -2		2	2	0	1	0.0	0.0	0.5	0.0
7	7	1/2	1/2	2/2	4	1	V(4)/iv					d	i		V(4)/iv	V			4	iv			M	1	1	2, 1, 3		2	2						
7	7	3/4	3/4	2/2	4	1	V/iv					d	i		V/iv	V				iv			M	1	1	2, 6, 3		2	2	0	1	0.0	0.0	0.25	0.0
8	8	0	0	2/2	4	1	iv\\					d	i		iv	iv						\\	m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	1.0	0.0
8	8	1/2	1/2	2/2	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.75	0.0
9	9	0	0	2/2	4	1	VI					d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
9	9	1/4	1/4	2/2	4	1	v				V	d	i		v	v							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
9	9	1/2	1/2	2/2	4	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
9	9	3/4	3/4	2/2	4	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
10	10	0	0	2/2	4	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	1.0	0.0
10	10	1/2	1/2	2/2	4	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
