mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	d.i					d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	1	2	0.3333333333333333	0.25	1.75	0.125
2	2	0	0	4/4	3	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	0	2	0.0	0.0	1.0	0.0
2	2	1/2	1/2	4/4	3	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	1.0	0.0
3	3	0	0	4/4	3	1	V					d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
3	3	1/2	1/2	4/4	3	1	i					d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
4	4	0	0	4/4	3	1	V(4)					d	i		V(4)	V			4				M	1	1	3, 2, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
4	4	1/2	1/2	4/4	3	1	V					d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
5	5	0	0	4/4	3	1	i\\					d	i		i	i						\\	m	1	1	2, -1, 3		2.0	2.0	0	6	0.0	0.0	4.0	0.0
7	7	0	0	4/4	3	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3.0	0.0	0	2	0.0	0.0	1.0	0.0
7	7	1/2	1/2	4/4	3	1	IV/v					d	i		IV/v	IV				v			M	1	1	2, 6, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
8	8	0	0	4/4	3	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
8	8	1/2	1/2	4/4	3	1	VI/v	0	-4.7	/	iv6/v	d	i		VI/v	VI				v			M	1	1	-1, 3, 0		-1.0	-1.0	0	3	0.0	0.0	1.0	0.0
9	9	0	0	4/4	3	1	V(4)/v					d	i		V(4)/v	V			4	v			M	1	1	4, 3, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
9	9	1/2	1/2	4/4	3	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
10	10	0	0	4/4	3	1	v\\					d	i		v	v						\\	m	1	1	3, 0, 4		3.0	3.0	1	4	0.2	0.125	2.625	0.045454545454545456
11	11	0	0	4/4	3	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	1.25	0.0
11	11	1/4	1/4	4/4	3	1	V7/IV					d	i		V7/IV	V		7		IV			Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	2	0.0	0.0	0.25	0.0
11	11	1/2	1/2	4/4	3	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
11	11	3/4	3/4	4/4	3	1	V7/VII					d	i		V7/VII	V		7		VII			Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	3	0.0	0.0	0.5	0.0
12	12	0	0	4/4	3	1	V					d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	4	0.0	0.0	1.25	0.0
12	12	1/4	1/4	4/4	3	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	2	0.0	0.0	0.25	0.0
12	12	1/2	1/2	4/4	3	1	VI					d	i		VI	VI							M	1	1	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	1.25	0.0
12	12	3/4	3/4	4/4	3	1	iv65					d	i		iv65	iv		65					mm7	1	1	-2, 2, -1, 1		1.0	-2.0	0	2	0.0	0.0	0.25	0.0
13	13	0	0	4/4	3	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	0	3	0.0	0.0	2.0	0.0
13	13	1/2	1/2	4/4	3	1	V					d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
14	14	0	0	4/4	3	1	i\\					d	i		i	i						\\	m	1	1	2, -1, 3		2.0	2.0	0	7	0.0	0.0	5.0	0.0
16	16	0	0	4/4	3	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3.0	0.0	0	2	0.0	0.0	1.0	0.0
16	16	1/2	1/2	4/4	3	1	IV/v					d	i		IV/v	IV				v			M	1	1	2, 6, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
17	17	0	0	4/4	3	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
